2024/02/18 01:01:30 올리브영 랭킹
랭킹 카테고리,순위,브랜드명,상품명,링크,카테고리
전체,53,에뛰드,[2월올영PICK] 에뛰드 컬 픽스 마스카라 8g 듀이글리터 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000181819&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=53,02 > 아이 메이크업 > 마스카라
전체,54,넘버즈인,[모공각질] 넘버즈인 4번 모공제로 깐달걀 토너패드 70매 리필 기획 (70매+70매 리필),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182630&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=54,01 > 마스크팩 > 패드
전체,55,유시몰,[NEW] 유시몰 화이트닝 퍼플코렉터 치약 106g,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199329&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=55,06 > 구강 관리 용품 > 치약
전체,56,바이오힐보,[2종키트 선착순 증정]바이오힐보 프로바이오덤 3D 리프팅크림 50ml 리필기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199701&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=56,01 > 스킨케어 > 크림
전체,57,브링그린,브링그린 알로에99% 수딩젤 300ml단품/더블기획(300ml+300ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000141845&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=57,01 > 썬케어 > 애프터썬
전체,58,홀리카홀리카,[NEW 컬러추가] 홀리카홀리카 마이페이브 피스 아이섀도우,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000174309&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=58,02 > 아이 메이크업 > 아이섀도우
전체,59,라로슈포제,라로슈포제 시카플라스트 밤B5+ 200ml 기획 (+시카토너 50ml+시카밤 3ml*2 증정),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198357&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=59,01 > 스킨케어 > 크림
전체,60,에스트라,[NEW] 에스트라 아토베리어365 로션 150ml+150ml 리필 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199495&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=60,01 > 스킨케어 > 로션
전체,61,힌스,[2월 올영픽/랄랄X레어리PICK] 힌스 트루 디멘션 래디언스 밤,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000148564&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=61,02 > 베이스 메이크업 > 하이라이터
전체,62,어뮤즈,[2023어워즈] 어뮤즈 듀 젤리 비건 쿠션(본품+리필+젤핏틴트 미니 06 서울 걸),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000161728&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=62,02 > 베이스 메이크업 > 쿠션
